mo_id,criminal_id,crime_type,entry_method,escape_method,target_selection,crime_timing,weapon_used,dress_pattern,communication_method,vehicle_used,accomplice_count,victim_selection,planning_level,technology_used,repeat_pattern,special_notes
2808,CRM-IND-02808,Cybercrime,Front door,Car escape,Parked vehicles,Midnight,Axe,Formal attire,Hand signals,Tempo,5,Street vendors,Highly Planned,GPS tracker,Known to repeat Cybercrime offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Non-violent offender. No gang affiliation.
2809,CRM-IND-02809,Theft,Fire escape,Car escape,ATMs,Dusk,Chain,Helmet and visor,Coded language,Motorcycle,4,Construction sites,Highly Planned,Lock pick set,Known to repeat Theft offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Habitual Offender offender. No gang affiliation.
2810,CRM-IND-02810,Sexual Offense,Front door,Bus,Elderly people,Late night (11PM-3AM),Pistol,Uniform disguise,WhatsApp,On foot,1,Isolated houses,Professional,None,Known to repeat Sexual Offense offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Non-violent offender. No gang affiliation.
2811,CRM-IND-02811,Robbery,Wall breach,Auto rickshaw,Festival crowds,Late night (11PM-3AM),Chain,Face mask and cap,Face to face,Truck,4,Isolated houses,Moderately Planned,Night vision,Known to repeat Robbery offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Habitual Offender offender. Gang affiliated: Shinde Group.
2812,CRM-IND-02812,Sexual Offense,Door break,Hiding in crowd,Festival crowds,Evening (6PM-9PM),Axe,Casual clothes,Hand signals,Stolen vehicle,3,Elderly people,Moderately Planned,None,Known to repeat Sexual Offense offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. Habitual Offender offender. No gang affiliation.
2813,CRM-IND-02813,Kidnapping,Fire escape,Through lanes,Jewelry shops,Evening (6PM-9PM),None,Dark clothing,WhatsApp,Car,4,Construction sites,Moderately Planned,Lock pick set,Known to repeat Kidnapping offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Habitual Offender offender. Gang affiliated: Fire Eagles.
2814,CRM-IND-02814,Cybercrime,Window break,Auto rickshaw,Festival crowds,Dusk,None,Face mask and cap,Prepaid SIM,Car,5,Elderly people,Professional,Lock pick set,Known to repeat Cybercrime offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Organized Crime offender. No gang affiliation.
2815,CRM-IND-02815,Murder,Roof entry,On foot,ATMs,Late night (11PM-3AM),Axe,Face mask and cap,Signal,Van,5,Parked vehicles,Impulsive,GPS tracker,Known to repeat Murder offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Non-violent offender. Gang affiliated: Ghost Riders.
2816,CRM-IND-02816,Sexual Offense,Wall breach,On foot,Festival crowds,Morning (6AM-10AM),None,Helmet and visor,Coded language,Van,5,ATMs,Opportunistic,Night vision,Known to repeat Sexual Offense offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Organized Crime offender. No gang affiliation.
2817,CRM-IND-02817,Fraud,Back door,Hiding in crowd,Elderly people,Afternoon (12PM-3PM),None,Face mask and cap,WhatsApp,On foot,6,Offices after hours,Highly Planned,Signal jammer,Known to repeat Fraud offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Violent offender. No gang affiliation.
2818,CRM-IND-02818,Extortion,Door break,On foot,College students,Evening (6PM-9PM),Machete,Face mask and cap,Hand signals,Van,4,Street vendors,Impulsive,None,Known to repeat Extortion offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Organized Crime offender. Gang affiliated: Dhole Patti Gang.
2819,CRM-IND-02819,Assault,Fire escape,Bus,College students,Evening (6PM-9PM),Hammer,Uniform disguise,Signal,Stolen vehicle,0,Street vendors,Moderately Planned,Night vision,Known to repeat Assault offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Violent offender. No gang affiliation.
2820,CRM-IND-02820,Drug Offense,Door break,Bike escape,Street vendors,Midnight,Chain,Uniform disguise,Telegram,On foot,0,Banks,Professional,Skeleton keys,Known to repeat Drug Offense offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Violent offender. No gang affiliation.
2821,CRM-IND-02821,Fraud,Not applicable,Auto rickshaw,Festival crowds,Midnight,Hammer,Dark clothing,Prepaid SIM,Tempo,5,Elderly people,Highly Planned,None,Known to repeat Fraud offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. Violent offender. No gang affiliation.
2822,CRM-IND-02822,Fraud,Fire escape,Bike escape,ATMs,Early morning (3AM-6AM),None,Uniform disguise,Face to face,Tempo,1,Jewelry shops,Impulsive,None,Known to repeat Fraud offenses in similar areas with consistent timing patterns.,Subject classified as High risk. Non-violent offender. No gang affiliation.
2823,CRM-IND-02823,Sexual Offense,Not applicable,Auto rickshaw,Banks,Early morning (3AM-6AM),Chain,Workman overalls,Telegram,Van,1,IT parks,Impulsive,None,Known to repeat Sexual Offense offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Organized Crime offender. No gang affiliation.
2824,CRM-IND-02824,Assault,Lock picking,Through lanes,IT parks,Early morning (3AM-6AM),Iron Rod,Black hoodie,WhatsApp,On foot,2,Isolated houses,Moderately Planned,None,Known to repeat Assault offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Violent offender. No gang affiliation.
2825,CRM-IND-02825,Fraud,Fire escape,Car escape,Banks,Afternoon (12PM-3PM),Knife,Formal attire,Telegram,SUV,4,College students,Professional,Fake documents,Known to repeat Fraud offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. White Collar offender. No gang affiliation.
2826,CRM-IND-02826,Drug Offense,Not applicable,On foot,Festival crowds,Afternoon (12PM-3PM),None,Uniform disguise,Telegram,Van,0,Festival crowds,Moderately Planned,Signal jammer,Known to repeat Drug Offense offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. White Collar offender. Gang affiliated: Steel Vipers.
2827,CRM-IND-02827,Murder,Not applicable,Train,IT parks,Midnight,Pistol,Helmet and visor,WhatsApp,Stolen vehicle,3,Elderly people,Opportunistic,Lock pick set,Known to repeat Murder offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Non-violent offender. No gang affiliation.
2828,CRM-IND-02828,Robbery,Wall breach,Hiding in crowd,Street vendors,Afternoon (12PM-3PM),Knife,Workman overalls,Telegram,Motorcycle,0,Street vendors,Moderately Planned,Hacking tools,Known to repeat Robbery offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. White Collar offender. No gang affiliation.
2829,CRM-IND-02829,Theft,Wall breach,On foot,Festival crowds,Midnight,Machete,Workman overalls,Coded language,Bicycle,2,IT parks,Highly Planned,Lock pick set,Known to repeat Theft offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Habitual Offender offender. No gang affiliation.
2830,CRM-IND-02830,Kidnapping,Fire escape,Taxi,ATMs,Morning (6AM-10AM),None,Black hoodie,Face to face,Auto rickshaw,3,Parked vehicles,Opportunistic,None,Known to repeat Kidnapping offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Non-violent offender. No gang affiliation.
2831,CRM-IND-02831,Cybercrime,Lock picking,Bus,Offices after hours,Evening (6PM-9PM),Iron Rod,Workman overalls,WhatsApp,SUV,6,Street vendors,Impulsive,Hacking tools,Known to repeat Cybercrime offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Organized Crime offender. Gang affiliated: Dark Angels.
2832,CRM-IND-02832,Drug Offense,Roof entry,Car escape,IT parks,Morning (6AM-10AM),Chain,Casual clothes,Signal,Van,2,Construction sites,Moderately Planned,Skeleton keys,Known to repeat Drug Offense offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Violent offender. Gang affiliated: Silver Hawks.
2833,CRM-IND-02833,Cybercrime,Fire escape,Taxi,Women walking alone,Evening (6PM-9PM),Chain,Formal attire,Prepaid SIM,SUV,0,Street vendors,Professional,Signal jammer,Known to repeat Cybercrime offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. Habitual Offender offender. No gang affiliation.
2834,CRM-IND-02834,Extortion,Window break,Bus,Offices after hours,Afternoon (12PM-3PM),Sword,Face mask and cap,Signal,Auto rickshaw,3,Street vendors,Moderately Planned,Lock pick set,Known to repeat Extortion offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Violent offender. No gang affiliation.
2835,CRM-IND-02835,Theft,Front door,Train,Elderly people,Midnight,Hammer,Formal attire,WhatsApp,Tempo,1,Elderly people,Highly Planned,Hacking tools,Known to repeat Theft offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Organized Crime offender. No gang affiliation.
2836,CRM-IND-02836,Sexual Offense,Front door,On foot,Isolated houses,Early morning (3AM-6AM),Chain,Helmet and visor,Coded language,Van,0,Street vendors,Opportunistic,Signal jammer,Known to repeat Sexual Offense offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Organized Crime offender. No gang affiliation.
2837,CRM-IND-02837,Fraud,Window break,Bus,ATMs,Late night (11PM-3AM),Axe,Dark clothing,Hand signals,Truck,2,IT parks,Professional,Fake documents,Known to repeat Fraud offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Violent offender. Gang affiliated: Vishrantwadi Boys.
2838,CRM-IND-02838,Theft,Roof entry,Hiding in crowd,Isolated houses,Afternoon (12PM-3PM),Iron Rod,Face mask and cap,Hand signals,On foot,6,ATMs,Moderately Planned,Lock pick set,Known to repeat Theft offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Habitual Offender offender. No gang affiliation.
2839,CRM-IND-02839,Cybercrime,Wall breach,Hiding in crowd,ATMs,Dawn,Axe,Uniform disguise,Telegram,Motorcycle,6,Construction sites,Opportunistic,Skeleton keys,Known to repeat Cybercrime offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Violent offender. No gang affiliation.
2840,CRM-IND-02840,Assault,Door break,Auto rickshaw,Jewelry shops,Dawn,None,Uniform disguise,Prepaid SIM,Auto rickshaw,6,Isolated houses,Impulsive,None,Known to repeat Assault offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Non-violent offender. No gang affiliation.
2841,CRM-IND-02841,Murder,Lock picking,Taxi,Parked vehicles,Early morning (3AM-6AM),None,Dark clothing,Face to face,Stolen vehicle,6,Festival crowds,Highly Planned,None,Known to repeat Murder offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Habitual Offender offender. No gang affiliation.
2842,CRM-IND-02842,Kidnapping,Lock picking,Train,IT parks,Midnight,Axe,Dark clothing,WhatsApp,Van,1,Parked vehicles,Highly Planned,Skeleton keys,Known to repeat Kidnapping offenses in similar areas with consistent timing patterns.,Subject classified as High risk. Violent offender. No gang affiliation.
2843,CRM-IND-02843,Murder,Door break,Auto rickshaw,Banks,Morning (6AM-10AM),None,Black hoodie,Coded language,Van,4,Street vendors,Moderately Planned,None,Known to repeat Murder offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. White Collar offender. No gang affiliation.
2844,CRM-IND-02844,Robbery,Fire escape,Bus,Construction sites,Early morning (3AM-6AM),Sword,Face mask and cap,Signal,Truck,0,Women walking alone,Highly Planned,None,Known to repeat Robbery offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. White Collar offender. No gang affiliation.
2845,CRM-IND-02845,Kidnapping,Lock picking,Auto rickshaw,Elderly people,Evening (6PM-9PM),Hammer,Face mask and cap,WhatsApp,Stolen vehicle,2,ATMs,Highly Planned,None,Known to repeat Kidnapping offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. White Collar offender. No gang affiliation.
2846,CRM-IND-02846,Assault,Window break,Car escape,Women walking alone,Afternoon (12PM-3PM),Sword,Formal attire,Telegram,Stolen vehicle,1,Festival crowds,Professional,Hacking tools,Known to repeat Assault offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Habitual Offender offender. No gang affiliation.
2847,CRM-IND-02847,Extortion,Not applicable,Car escape,Banks,Early morning (3AM-6AM),Hammer,Casual clothes,Signal,Van,5,Parked vehicles,Impulsive,Lock pick set,Known to repeat Extortion offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. Violent offender. No gang affiliation.
2848,CRM-IND-02848,Murder,Lock picking,Through lanes,Women walking alone,Morning (6AM-10AM),Iron Rod,Uniform disguise,Prepaid SIM,Tempo,6,College students,Impulsive,Lock pick set,Known to repeat Murder offenses in similar areas with consistent timing patterns.,Subject classified as High risk. Habitual Offender offender. No gang affiliation.
2849,CRM-IND-02849,Sexual Offense,Key duplication,Through lanes,Parked vehicles,Morning (6AM-10AM),Knife,Face mask and cap,Coded language,Tempo,4,Jewelry shops,Impulsive,Lock pick set,Known to repeat Sexual Offense offenses in similar areas with consistent timing patterns.,Subject classified as High risk. Violent offender. No gang affiliation.
2850,CRM-IND-02850,Assault,Fire escape,On foot,Women walking alone,Evening (6PM-9PM),None,Casual clothes,Hand signals,Truck,4,Street vendors,Opportunistic,Signal jammer,Known to repeat Assault offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Habitual Offender offender. No gang affiliation.
2851,CRM-IND-02851,Robbery,Key duplication,Bus,Elderly people,Dawn,Chain,Black hoodie,Signal,Car,3,Jewelry shops,Opportunistic,Fake documents,Known to repeat Robbery offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Violent offender. No gang affiliation.
2852,CRM-IND-02852,Fraud,Lock picking,Hiding in crowd,Offices after hours,Late night (11PM-3AM),None,Black hoodie,Hand signals,SUV,0,ATMs,Opportunistic,None,Known to repeat Fraud offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Habitual Offender offender. Gang affiliated: Red Hand.
2853,CRM-IND-02853,Extortion,Front door,On foot,Offices after hours,Late night (11PM-3AM),None,Helmet and visor,Hand signals,Auto rickshaw,4,Jewelry shops,Moderately Planned,Night vision,Known to repeat Extortion offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Violent offender. No gang affiliation.
2854,CRM-IND-02854,Murder,Key duplication,Hiding in crowd,Banks,Dawn,None,Uniform disguise,Prepaid SIM,Truck,5,Isolated houses,Highly Planned,Hacking tools,Known to repeat Murder offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Habitual Offender offender. No gang affiliation.
2855,CRM-IND-02855,Kidnapping,Window break,Hiding in crowd,IT parks,Midnight,Hammer,Workman overalls,WhatsApp,Van,6,Isolated houses,Highly Planned,Night vision,Known to repeat Kidnapping offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. White Collar offender. No gang affiliation.
2856,CRM-IND-02856,Fraud,Front door,Taxi,Women walking alone,Afternoon (12PM-3PM),Cricket Bat,Face mask and cap,Telegram,Bicycle,2,Jewelry shops,Moderately Planned,Fake documents,Known to repeat Fraud offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. White Collar offender. Gang affiliated: Fire Eagles.
2857,CRM-IND-02857,Extortion,Front door,Auto rickshaw,Construction sites,Dusk,None,Face mask and cap,WhatsApp,On foot,6,IT parks,Opportunistic,None,Known to repeat Extortion offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Organized Crime offender. No gang affiliation.
2858,CRM-IND-02858,Cybercrime,Lock picking,Auto rickshaw,Elderly people,Early morning (3AM-6AM),Machete,Casual clothes,Prepaid SIM,Motorcycle,0,Offices after hours,Moderately Planned,Signal jammer,Known to repeat Cybercrime offenses in similar areas with consistent timing patterns.,Subject classified as High risk. Violent offender. No gang affiliation.
2859,CRM-IND-02859,Murder,Back door,Auto rickshaw,Construction sites,Dawn,Pistol,Black hoodie,Hand signals,Van,2,Jewelry shops,Impulsive,None,Known to repeat Murder offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Habitual Offender offender. No gang affiliation.
2860,CRM-IND-02860,Robbery,Wall breach,Taxi,Parked vehicles,Dusk,Knife,Workman overalls,WhatsApp,Stolen vehicle,3,Offices after hours,Impulsive,Hacking tools,Known to repeat Robbery offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. Non-violent offender. No gang affiliation.
2861,CRM-IND-02861,Sexual Offense,Roof entry,Through lanes,Elderly people,Dusk,Machete,Sports wear,Signal,Truck,6,Street vendors,Impulsive,Signal jammer,Known to repeat Sexual Offense offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. Habitual Offender offender. No gang affiliation.
2862,CRM-IND-02862,Assault,Door break,Through lanes,Festival crowds,Midnight,None,Uniform disguise,Hand signals,Stolen vehicle,1,Street vendors,Highly Planned,None,Known to repeat Assault offenses in similar areas with consistent timing patterns.,Subject classified as High risk. Violent offender. No gang affiliation.
2863,CRM-IND-02863,Extortion,Front door,Train,ATMs,Morning (6AM-10AM),Chain,Formal attire,Telegram,Van,1,Festival crowds,Opportunistic,Fake documents,Known to repeat Extortion offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Violent offender. Gang affiliated: Vishrantwadi Boys.
2864,CRM-IND-02864,Extortion,Key duplication,Bus,College students,Evening (6PM-9PM),Hammer,Casual clothes,Telegram,Motorcycle,3,Isolated houses,Professional,Lock pick set,Known to repeat Extortion offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. White Collar offender. Gang affiliated: Shadow Syndicate.
2865,CRM-IND-02865,Robbery,Wall breach,Bike escape,Women walking alone,Early morning (3AM-6AM),Machete,Helmet and visor,Telegram,SUV,2,College students,Opportunistic,GPS tracker,Known to repeat Robbery offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Violent offender. No gang affiliation.
2866,CRM-IND-02866,Cybercrime,Back door,On foot,Festival crowds,Midnight,Knife,Formal attire,Coded language,Tempo,6,Jewelry shops,Impulsive,GPS tracker,Known to repeat Cybercrime offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Organized Crime offender. No gang affiliation.
2867,CRM-IND-02867,Drug Offense,Not applicable,Through lanes,ATMs,Early morning (3AM-6AM),Hammer,Helmet and visor,Prepaid SIM,SUV,1,Elderly people,Impulsive,Fake documents,Known to repeat Drug Offense offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Violent offender. No gang affiliation.
2868,CRM-IND-02868,Extortion,Back door,Bus,Festival crowds,Evening (6PM-9PM),Cricket Bat,Formal attire,Signal,Van,3,IT parks,Highly Planned,Skeleton keys,Known to repeat Extortion offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. White Collar offender. No gang affiliation.
2869,CRM-IND-02869,Fraud,Door break,Train,Street vendors,Morning (6AM-10AM),None,Uniform disguise,Telegram,Auto rickshaw,5,Women walking alone,Highly Planned,GPS tracker,Known to repeat Fraud offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. White Collar offender. No gang affiliation.
2870,CRM-IND-02870,Drug Offense,Front door,On foot,Elderly people,Dawn,Axe,Dark clothing,Telegram,Truck,3,Jewelry shops,Professional,None,Known to repeat Drug Offense offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. White Collar offender. No gang affiliation.
2871,CRM-IND-02871,Theft,Lock picking,Auto rickshaw,Construction sites,Dusk,Pistol,Helmet and visor,Coded language,Auto rickshaw,2,Elderly people,Opportunistic,Fake documents,Known to repeat Theft offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. Habitual Offender offender. No gang affiliation.
2872,CRM-IND-02872,Murder,Lock picking,Train,Street vendors,Midnight,Cricket Bat,Sports wear,Telegram,Auto rickshaw,0,Isolated houses,Impulsive,None,Known to repeat Murder offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. Habitual Offender offender. No gang affiliation.
2873,CRM-IND-02873,Assault,Window break,Through lanes,Jewelry shops,Afternoon (12PM-3PM),Chain,Workman overalls,Hand signals,Motorcycle,3,Elderly people,Impulsive,None,Known to repeat Assault offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Organized Crime offender. No gang affiliation.
2874,CRM-IND-02874,Sexual Offense,Fire escape,Taxi,Elderly people,Early morning (3AM-6AM),None,Face mask and cap,Prepaid SIM,Tempo,1,IT parks,Impulsive,Night vision,Known to repeat Sexual Offense offenses in similar areas with consistent timing patterns.,Subject classified as High risk. White Collar offender. No gang affiliation.
2875,CRM-IND-02875,Extortion,Wall breach,Taxi,Offices after hours,Midnight,Chain,Uniform disguise,Prepaid SIM,Car,2,IT parks,Opportunistic,Lock pick set,Known to repeat Extortion offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. White Collar offender. No gang affiliation.
2876,CRM-IND-02876,Sexual Offense,Window break,Train,Isolated houses,Early morning (3AM-6AM),Hammer,Dark clothing,Prepaid SIM,Bicycle,3,Offices after hours,Professional,Lock pick set,Known to repeat Sexual Offense offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Organized Crime offender. No gang affiliation.
2877,CRM-IND-02877,Fraud,Window break,Auto rickshaw,Construction sites,Afternoon (12PM-3PM),Iron Rod,Helmet and visor,Face to face,On foot,6,Women walking alone,Professional,None,Known to repeat Fraud offenses in similar areas with consistent timing patterns.,Subject classified as High risk. Organized Crime offender. No gang affiliation.
2878,CRM-IND-02878,Assault,Not applicable,Taxi,College students,Dawn,Machete,Casual clothes,Face to face,Van,1,Banks,Moderately Planned,Fake documents,Known to repeat Assault offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. Non-violent offender. Gang affiliated: Black Shadow.
2879,CRM-IND-02879,Assault,Fire escape,Train,Banks,Late night (11PM-3AM),Cricket Bat,Uniform disguise,Hand signals,On foot,5,ATMs,Highly Planned,Night vision,Known to repeat Assault offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. Non-violent offender. No gang affiliation.
2880,CRM-IND-02880,Fraud,Fire escape,Taxi,Festival crowds,Dawn,None,Black hoodie,Prepaid SIM,Van,2,Festival crowds,Opportunistic,Lock pick set,Known to repeat Fraud offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Non-violent offender. No gang affiliation.
2881,CRM-IND-02881,Fraud,Window break,Bike escape,ATMs,Morning (6AM-10AM),Chain,Face mask and cap,Face to face,Motorcycle,2,Street vendors,Highly Planned,Fake documents,Known to repeat Fraud offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Violent offender. Gang affiliated: Wagh Mandali.
2882,CRM-IND-02882,Murder,Key duplication,On foot,Women walking alone,Afternoon (12PM-3PM),Sword,Face mask and cap,Face to face,SUV,0,College students,Moderately Planned,None,Known to repeat Murder offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Organized Crime offender. No gang affiliation.
2883,CRM-IND-02883,Cybercrime,Lock picking,Car escape,Jewelry shops,Midnight,None,Face mask and cap,Prepaid SIM,On foot,3,Isolated houses,Moderately Planned,GPS tracker,Known to repeat Cybercrime offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Non-violent offender. No gang affiliation.
2884,CRM-IND-02884,Murder,Roof entry,Bike escape,Elderly people,Dusk,Axe,Dark clothing,Telegram,Stolen vehicle,6,Offices after hours,Highly Planned,None,Known to repeat Murder offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. Organized Crime offender. No gang affiliation.
2885,CRM-IND-02885,Cybercrime,Back door,Taxi,IT parks,Dawn,Pistol,Uniform disguise,Hand signals,Bicycle,2,Street vendors,Moderately Planned,Hacking tools,Known to repeat Cybercrime offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Non-violent offender. No gang affiliation.
2886,CRM-IND-02886,Sexual Offense,Roof entry,Auto rickshaw,College students,Early morning (3AM-6AM),Cricket Bat,Uniform disguise,Signal,On foot,3,College students,Opportunistic,None,Known to repeat Sexual Offense offenses in similar areas with consistent timing patterns.,Subject classified as High risk. White Collar offender. No gang affiliation.
2887,CRM-IND-02887,Cybercrime,Roof entry,Train,Banks,Dusk,Hammer,Workman overalls,Hand signals,Van,2,Festival crowds,Opportunistic,Night vision,Known to repeat Cybercrime offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. White Collar offender. No gang affiliation.
2888,CRM-IND-02888,Drug Offense,Door break,Bus,Jewelry shops,Dawn,None,Black hoodie,Coded language,Stolen vehicle,0,Festival crowds,Moderately Planned,None,Known to repeat Drug Offense offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Violent offender. No gang affiliation.
2889,CRM-IND-02889,Assault,Fire escape,Train,IT parks,Midnight,Machete,Formal attire,Hand signals,SUV,2,Street vendors,Moderately Planned,Fake documents,Known to repeat Assault offenses in similar areas with consistent timing patterns.,Subject classified as High risk. White Collar offender. No gang affiliation.
2890,CRM-IND-02890,Murder,Fire escape,Train,Isolated houses,Dusk,Chain,Casual clothes,Signal,Van,5,Isolated houses,Opportunistic,None,Known to repeat Murder offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. Organized Crime offender. No gang affiliation.
2891,CRM-IND-02891,Robbery,Fire escape,Car escape,College students,Evening (6PM-9PM),Pistol,Face mask and cap,Telegram,Van,6,ATMs,Professional,Night vision,Known to repeat Robbery offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Organized Crime offender. No gang affiliation.
2892,CRM-IND-02892,Murder,Window break,Train,Elderly people,Afternoon (12PM-3PM),Sword,Uniform disguise,Telegram,Motorcycle,0,Construction sites,Opportunistic,None,Known to repeat Murder offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Violent offender. No gang affiliation.
2893,CRM-IND-02893,Sexual Offense,Lock picking,Auto rickshaw,Isolated houses,Morning (6AM-10AM),Chain,Black hoodie,Signal,Motorcycle,3,Jewelry shops,Professional,None,Known to repeat Sexual Offense offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. Organized Crime offender. Gang affiliated: Steel Vipers.
2894,CRM-IND-02894,Sexual Offense,Fire escape,On foot,ATMs,Evening (6PM-9PM),Pistol,Black hoodie,WhatsApp,Auto rickshaw,0,Elderly people,Moderately Planned,Hacking tools,Known to repeat Sexual Offense offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Violent offender. No gang affiliation.
2895,CRM-IND-02895,Theft,Lock picking,Train,Banks,Midnight,Iron Rod,Workman overalls,Signal,Stolen vehicle,3,Construction sites,Opportunistic,Lock pick set,Known to repeat Theft offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Habitual Offender offender. No gang affiliation.
2896,CRM-IND-02896,Theft,Fire escape,Taxi,Offices after hours,Early morning (3AM-6AM),None,Dark clothing,WhatsApp,Car,6,Construction sites,Professional,Signal jammer,Known to repeat Theft offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. White Collar offender. No gang affiliation.
2897,CRM-IND-02897,Cybercrime,Lock picking,Train,Festival crowds,Midnight,Hammer,Helmet and visor,WhatsApp,Auto rickshaw,5,Banks,Moderately Planned,None,Known to repeat Cybercrime offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Habitual Offender offender. No gang affiliation.
2898,CRM-IND-02898,Cybercrime,Wall breach,Hiding in crowd,Elderly people,Evening (6PM-9PM),Hammer,Sports wear,WhatsApp,SUV,0,IT parks,Impulsive,Signal jammer,Known to repeat Cybercrime offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Non-violent offender. No gang affiliation.
2899,CRM-IND-02899,Theft,Front door,Bus,Isolated houses,Dusk,None,Formal attire,Coded language,SUV,6,Street vendors,Impulsive,Signal jammer,Known to repeat Theft offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Organized Crime offender. No gang affiliation.
2900,CRM-IND-02900,Cybercrime,Front door,Auto rickshaw,Festival crowds,Early morning (3AM-6AM),Machete,Face mask and cap,Hand signals,Motorcycle,1,Jewelry shops,Opportunistic,None,Known to repeat Cybercrime offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. White Collar offender. No gang affiliation.
2901,CRM-IND-02901,Kidnapping,Door break,Bus,Street vendors,Dusk,Machete,Helmet and visor,Prepaid SIM,Van,2,Jewelry shops,Professional,None,Known to repeat Kidnapping offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. White Collar offender. Gang affiliated: Tiger Gang.
